,Unnamed: 0,Weight,Element,Molecule,BasisSet,Spin,BuiltMolecule,bond_lenght,CCSDT,DFT-SCAN,DFT-wB97X-V,NN-Functional.DM21,NN-Functional.DM21m,NN-Functional.DM21mc,NN-Functional.DM21mu
0,0,6,C,"[['C', (0, 0, 0.1)], ['C', (0, 0, -0.1)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",0.2,-37.24974133,-37.53008089,-37.55444085,-37.56416558,-37.59623203,-37.59382641,-37.60592336
1,1,6,C,"[['C', (0, 0, 0.2)], ['C', (0, 0, -0.2)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",0.4,-67.22664272,-67.46130023,-67.49766528,-67.48005282,-67.4997599,-67.49274724,-67.50334526
12,,6,C,"[['C', (0, 0, 0.25)], ['C', (0, 0, -0.25)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",0.5,-70.78476024,-71.00413116,-71.04957781,-71.01714203,-71.04906916,-71.02974538,-71.0329918
2,2,6,C,"[['C', (0, 0, 0.3)], ['C', (0, 0, -0.3)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",0.6,-72.77270844,-72.96555846,-73.01701015,-72.98190625,-73.02237331,-72.991865,-72.99510654
14,,6,C,"[['C', (0, 0, 0.35)], ['C', (0, 0, -0.35)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",0.7,-74.05913287,-74.21007719,-74.26348014,-74.17465856,-74.26649074,-74.24525292,-74.23917822
3,3,6,C,"[['C', (0, 0, 0.4)], ['C', (0, 0, -0.4)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",0.8,-74.85153563,-74.98132914,-75.03377609,-74.95472673,-75.03551515,-75.01876502,-75.01066985
16,,6,C,"[['C', (0, 0, 0.45)], ['C', (0, 0, -0.45)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",0.9,-75.30576228,-75.43051814,-75.48223398,-75.46915236,-75.48371791,-75.47300245,-75.46149043
4,4,6,C,"[['C', (0, 0, 0.5)], ['C', (0, 0, -0.5)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",1,-75.55244967,-75.67591733,-75.72743435,-75.71869344,-75.72278628,-75.73550244,-75.71337987
18,,6,C,"[['C', (0, 0, 0.55)], ['C', (0, 0, -0.55)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",1.1,-75.67474533,-75.79700318,-75.84852181,-75.84302171,-75.84394959,-75.8615037,-75.8553339
5,5,6,C,"[['C', (0, 0, 0.6)], ['C', (0, 0, -0.6)]]",cc-pVDZ,0,"{'C': [[0, [6665.0, 0.000692, -0.000146, 0.0], [1000.0, 0.005329, -0.001154, 0.0], [228.0, 0.027077, -0.005725, 0.0], [64.71, 0.101718, -0.023312, 0.0], [21.06, 0.27474, -0.063955, 0.0], [7.495, 0.448564, -0.149981, 0.0], [2.797, 0.285074, -0.127262, 0.0], [0.5215, 0.015204, 0.544529, 0.0], [0.1596, -0.003191, 0.580496, 1.0]], [1, [9.439, 0.038109, 0.0], [2.002, 0.20948, 0.0], [0.5456, 0.508557, 0.0], [0.1517, 0.468842, 1.0]], [2, [0.55, 1.0]]]}",1.2,-75.72348294,-75.84453397,-75.89554691,-75.89187523,-75.89279875,-75.89542253,-75.90297978
