BuiltMolecule,bond_lenght,bond_Angle,DFT-b3lyp,NN-Functional.DM21m
cc-pVDZ,0.8,102,-76.30311016,
cc-pVDZ,0.8,103,-76.30355566,
cc-pVDZ,0.8,104,-76.30394471,
cc-pVDZ,0.8,105,-76.30427849,
cc-pVDZ,0.8,106,-76.30455815,
cc-pVDZ,0.9,102,-76.37307791,
cc-pVDZ,0.9,103,-76.37325296,
cc-pVDZ,0.9,104,-76.37337468,
cc-pVDZ,0.9,105,-76.3734441,
cc-pVDZ,0.9,106,-76.37346228,
cc-pVDZ,1,102,-76.38187165,
cc-pVDZ,1,103,-76.3818184,
cc-pVDZ,1,104,-76.38171575,
cc-pVDZ,1,105,-76.38156462,
cc-pVDZ,1,106,-76.38136596,
cc-pVDZ,1.1,102,-76.36022939,
cc-pVDZ,1.1,103,-76.36001452,
cc-pVDZ,1.1,104,-76.35975458,
cc-pVDZ,1.1,105,-76.35945026,
cc-pVDZ,1.1,106,-76.35910227,
cc-pVDZ,1.2,102,-76.32448532,
cc-pVDZ,1.2,103,-76.32417586,
cc-pVDZ,1.2,104,-76.32382507,
cc-pVDZ,1.2,105,-76.32343335,
cc-pVDZ,1.2,106,-76.32300109,
cc-pVDZ,0.8,102,-76.30311016,
cc-pVDZ,0.8,103,-76.30355566,
cc-pVDZ,0.8,104,-76.30394471,
cc-pVDZ,0.8,105,-76.30427849,
cc-pVDZ,0.8,106,-76.30455815,
cc-pVDZ,0.84,102,-76.34132345,
cc-pVDZ,0.84,103,-76.34165776,
cc-pVDZ,0.84,104,-76.34193684,
cc-pVDZ,0.84,105,-76.34216177,
cc-pVDZ,0.84,106,-76.34233366,
cc-pVDZ,0.88,102,-76.36532896,
cc-pVDZ,0.88,103,-76.36555577,
cc-pVDZ,0.88,104,-76.36572858,
cc-pVDZ,0.88,105,-76.36584845,
cc-pVDZ,0.88,106,-76.36591643,
cc-pVDZ,0.92,102,-76.3784623,
cc-pVDZ,0.92,103,-76.37858731,
cc-pVDZ,0.92,104,-76.37865969,
cc-pVDZ,0.92,105,-76.37868046,
cc-pVDZ,0.92,106,-76.37865065,
cc-pVDZ,0.96,102,-76.38330683,
cc-pVDZ,0.96,103,-76.38333787,
cc-pVDZ,0.96,104,-76.38331782,
cc-pVDZ,0.96,105,-76.38324765,
cc-pVDZ,0.96,106,-76.38312837,
cc-pVDZ,1,102,-76.38187165,
cc-pVDZ,1,103,-76.3818184,
cc-pVDZ,1,104,-76.38171575,
cc-pVDZ,1,105,-76.38156462,
cc-pVDZ,1,106,-76.38136596,
cc-pVDZ,1.04,102,-76.37571974,
cc-pVDZ,1.04,103,-76.37559325,
cc-pVDZ,1.04,104,-76.3754191,
cc-pVDZ,1.04,105,-76.37519815,
cc-pVDZ,1.04,106,-76.37493125,
cc-pVDZ,1.08,102,-76.3660661,
cc-pVDZ,1.08,103,-76.36587783,
cc-pVDZ,1.08,104,-76.36564365,
cc-pVDZ,1.08,105,-76.36536432,
cc-pVDZ,1.08,106,-76.36504059,
cc-pVDZ,1.12,102,-76.35385239,
cc-pVDZ,1.12,103,-76.35361367,
cc-pVDZ,1.12,104,-76.35333068,
cc-pVDZ,1.12,105,-76.35300406,
cc-pVDZ,1.12,106,-76.35263446,
cc-pVDZ,1.16,102,-76.33980562,
cc-pVDZ,1.16,103,-76.33952688,
